geoid,black,native,asian,PI,other,multi,hispanic,nonwhite,white,total,pct_nonwhite,pct_white,race_source_abbreviation,link_to_detailed_sourcing
4.84E+14,30,0,1,0,0,0,171,202,87,289,69.89619377,30.10380623,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/483550008002062/
4.84E+14,6,1,0,0,2,12,75,96,21,117,82.05128205,17.94871795,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483550063001326/
4.84E+14,87,0,0,0,0,0,610,697,211,908,76.76211454,23.23788546,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/483550064002128/
4.84E+14,3,1,0,0,5,0,33,42,12,54,77.77777778,22.22222222,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/483550064002131/
4.84E+14,0,0,0,0,0,0,12,12,6,18,66.66666667,33.33333333,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483579503003067/
4.84E+14,0,0,0,0,0,0,0,0,2,2,0,100,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483599501001080/
4.84E+14,41,0,0,0,1,0,1,43,109,152,28.28947368,71.71052632,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483610203003051/
4.84E+14,10,0,0,0,0,0,10,20,77,97,20.6185567,79.3814433,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483630003002078/
4.84E+14,23,0,0,0,5,0,6,34,25,59,57.62711864,42.37288136,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483659504006038/
4.84E+14,26,0,0,0,0,3,31,60,321,381,15.7480315,84.2519685,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483671401021092/
4.84E+14,740,1,3,0,624,3,625,1996,602,2598,76.82832948,23.17167052,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483671405023157/
4.84E+14,3,0,0,0,0,0,15,18,8,26,69.23076923,30.76923077,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483699503004034/
4.84E+14,126,2,1,1,61,6,222,419,242,661,63.38880484,36.61119516,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483719505001559/
4.84E+14,336,4,1,0,93,14,498,946,516,1462,64.70588235,35.29411765,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483719505003417/
4.84E+14,43,1,0,0,0,0,1,45,65,110,40.90909091,59.09090909,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483732103024015/
4.84E+14,1359,4,18,1,735,13,1017,3147,1403,4550,69.16483516,30.83516484,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483732102031001/
4.84E+14,55,2,2,0,18,5,80,162,144,306,52.94117647,47.05882353,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483750144012032/
4.84E+14,26,0,0,0,3,2,29,60,30,90,66.66666667,33.33333333,tract,http://www.prisonersofthecensus.org/data/2010blocks/483750154001107/
4.84E+14,1968,2,13,0,18,4,1628,3633,1679,5312,68.39231928,31.60768072,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483750144011008/
4.84E+14,0,1,0,0,0,1,0,2,23,25,8,92,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483799501002022/
4.84E+14,43,2,3,0,26,5,85,164,181,345,47.53623188,52.46376812,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483810217031004/
4.84E+14,9,0,0,0,0,0,0,9,19,28,32.14285714,67.85714286,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483879505005013/
4.84E+14,513,0,25,1,262,4,1512,2317,972,3289,70.44694436,29.55305564,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483899501001460/
4.84E+14,3,0,0,0,2,0,16,21,6,27,77.77777778,22.22222222,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483919502004028/
4.84E+14,24,0,0,0,5,0,7,36,10,46,78.26086957,21.73913043,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483959603002075/
4.84E+14,36,0,0,0,0,0,9,45,122,167,26.94610778,73.05389222,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483970403021047/
4.84E+14,3,0,0,0,0,0,17,20,28,48,41.66666667,58.33333333,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/483999506005409/
4.84E+14,671,4,4,0,121,12,448,1260,923,2183,57.71873568,42.28126432,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484019507001063/
4.84E+14,860,2,5,0,77,9,273,1226,830,2056,59.63035019,40.36964981,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484019505022047/
4.84E+14,0,0,0,0,0,0,0,0,118,118,0,100,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484019512002045/
4.84E+14,8,1,0,0,0,0,1,10,58,68,14.70588235,85.29411765,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484019504004029/
4.84E+14,162,1,1,0,42,7,172,385,163,548,70.25547445,29.74452555,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484019504001025/
4.84E+14,10,0,0,0,2,1,5,18,38,56,32.14285714,67.85714286,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484072002003038/
4.84E+14,0,0,0,0,0,0,0,0,1,1,0,100,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484090102021025/
4.84E+14,1,0,0,0,0,0,36,37,21,58,63.79310345,36.20689655,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/484090110002012/
4.84E+14,6,0,0,0,0,0,1,7,183,190,3.684210526,96.31578947,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/484090110003017/
4.84E+14,1,0,0,0,0,0,1,2,6,8,25,75,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484119501003052/
4.84E+14,168,0,3,0,0,0,199,370,205,575,64.34782609,35.65217391,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484119502002090/
4.84E+14,4,0,0,0,0,0,15,19,21,40,47.5,52.5,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484159506003016/
4.84E+14,318,2,5,0,451,0,447,1223,516,1739,70.32777458,29.67222542,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484159501001435/
4.84E+14,0,0,0,0,0,0,2,2,1,3,66.66666667,33.33333333,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484219502002039/
4.84E+14,17,1,0,0,1,1,2,22,24,46,47.82608696,52.17391304,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/484230005002060/
4.84E+14,116,0,0,0,4,0,22,142,122,264,53.78787879,46.21212121,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/484230005002084/
4.84E+14,160,6,0,0,1,12,63,242,181,423,57.21040189,42.78959811,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484230016012062/
4.84E+14,24,1,0,0,0,0,5,30,33,63,47.61904762,52.38095238,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484230016042046/
4.84E+14,2,0,0,0,6,0,6,14,6,20,70,30,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484230017001111/
4.84E+14,2,0,0,0,8,1,601,612,5,617,99.18962723,0.810372771,tract,http://www.prisonersofthecensus.org/data/2010blocks/484279505004016/
4.84E+14,1,0,0,0,0,0,2,3,14,17,17.64705882,82.35294118,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484299502001048/
4.84E+14,68,1,0,0,175,0,176,420,241,661,63.54009077,36.45990923,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484299505003291/
4.84E+14,1,0,1,0,1,0,5,8,4,12,66.66666667,33.33333333,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484359503002451/
4.84E+14,211,0,1,0,0,0,220,432,146,578,74.74048443,25.25951557,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484379502002526/
4.84E+14,5,0,0,0,0,0,9,14,2,16,87.5,12.5,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484379503003073/
4.84E+14,0,0,0,0,0,0,0,0,1,1,0,100,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484391114051019/
4.84E+14,62,5,4,1,26,1,61,160,64,224,71.42857143,28.57142857,tract,http://www.prisonersofthecensus.org/data/2010blocks/484391113092000/
4.84E+14,4,0,0,0,0,0,2,6,1,7,85.71428571,14.28571429,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484391115061000/
4.84E+14,0,0,0,0,0,0,4,4,123,127,3.149606299,96.8503937,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484391142043019/
4.84E+14,0,0,0,0,0,0,2,2,0,2,100,0,tract,http://www.prisonersofthecensus.org/data/2010blocks/484391109053036/
4.84E+14,393,76,12,1,147,54,506,1189,611,1800,66.05555556,33.94444444,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484391006022054/
4.84E+14,27,1,2,0,4,0,24,58,32,90,64.44444444,35.55555556,tract,http://www.prisonersofthecensus.org/data/2010blocks/484391037013004/
4.84E+14,192,0,1,0,47,3,124,367,106,473,77.58985201,22.41014799,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484391050012001/
4.84E+14,451,45,23,6,129,50,555,1259,552,1811,69.51960243,30.48039757,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484391059021016/
4.84E+14,102,2,0,1,7,0,25,137,93,230,59.56521739,40.43478261,tract,http://www.prisonersofthecensus.org/data/2010blocks/484391232001247/
4.84E+14,571,0,0,0,0,4,131,706,797,1503,46.97272122,53.02727878,tract,http://www.prisonersofthecensus.org/data/2010blocks/484391233002056/
4.84E+14,0,0,1,0,0,0,2,3,2,5,60,40,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/484391136281018/
4.84E+14,3,0,0,0,0,0,5,8,25,33,24.24242424,75.75757576,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/484391136282010/
4.84E+14,7,0,1,0,0,0,1,9,6,15,60,40,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484391136133020/
4.84E+14,185,5,3,0,96,10,353,652,310,962,67.77546778,32.22453222,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484459503003051/
4.84E+14,5,0,0,0,12,1,33,51,11,62,82.25806452,17.74193548,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/484459504001008/
4.84E+14,20,2,0,0,23,1,60,106,40,146,72.60273973,27.39726027,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/484459504003016/
4.85E+14,44,0,1,0,0,0,199,244,167,411,59.36739659,40.63260341,tract,http://www.prisonersofthecensus.org/data/2010blocks/484510018001039/
